as_of_date,latest_close,horizon,target_date,model,pred_return,pred_direction,direction_label,score_up,predicted_close,rank_score,test_balanced_accuracy,test_f1,test_spearman_ic,test_strategy_sharpe,current_regime
2026-07-01,1865.37,5,2026-07-08,MACD 12-26-9,0.005546065685213405,1,Bullish,1.0,1875.7154645472262,0.675,0.518442502354049,0.5725490196078431,0.02544871830488099,0.9119070232840213,
2026-07-01,1865.37,5,2026-07-08,SVC,0.009013599904067414,1,Bullish,0.620718860579882,1882.1836988530501,0.825,0.5283295080037664,0.6610312764158918,0.03909437765420072,1.0802569634760082,
2026-07-01,1865.37,5,2026-07-08,SVR,0.018392672445807643,1,Bullish,0.6207340297855858,1899.6791394002362,0.325,0.5163753531073446,0.5358255451713395,0.03595565548158919,0.14383617679059701,
2026-07-01,1865.37,5,2026-07-08,Random Forest,0.0025372955822141343,1,Bullish,0.5499825845166545,1870.1029950601944,0.675,0.5172507650659134,0.6496598639455783,0.012597071629949275,0.6788939003780732,
2026-07-01,1865.37,5,2026-07-08,XGBoost,0.0025887347292155027,1,Bullish,0.6212944388389587,1870.1989481018365,0.5,0.49496086393596983,0.6760343481654957,-0.007812673778841723,0.6127588752842641,
2026-07-01,1865.37,5,2026-07-08,LightGBM,0.002486462848393914,1,Bullish,0.5218697315202288,1870.0081732035082,0.275,0.4942325800376648,0.6308610400682012,-0.08602528373835529,0.5305643256718717,
2026-07-01,1865.37,5,2026-07-08,CatBoost,0.0020773019445352874,1,Bullish,0.5555775513935189,1869.2449367282777,0.475,0.5016257650659134,0.6430976430976431,0.004642962934650702,0.510108413822108,
2026-07-01,1865.37,5,2026-07-08,HMM Regime,0.013126098104507194,1,Bullish,1.0,1889.8550296212045,0.75,0.5356932674199624,0.6066350710900474,0.04785058793582302,1.514779742248166,2.0
2026-07-01,1865.37,20,2026-07-29,MACD 12-26-9,0.01600464006603319,1,Bullish,1.0,1895.2245754399762,0.8,0.5328651093748433,0.5965583173996176,0.033809966039991826,0.9119070232840213,
2026-07-01,1865.37,20,2026-07-29,SVC,0.00649695151461478,1,Bullish,0.5371714709251129,1877.4892184468167,0.275,0.45504899551668454,0.5815602836879432,-0.11901798784113361,0.703062258120672,
2026-07-01,1865.37,20,2026-07-29,SVR,0.02930026100959046,1,Bullish,0.5830423909425274,1920.0258278794597,0.45,0.5046412846153074,0.5358948432760364,0.0032024490615590972,0.9244573989390649,
2026-07-01,1865.37,20,2026-07-29,Random Forest,0.005309737677142903,1,Bullish,0.501636907056217,1875.274625370812,0.575,0.46023188870946713,0.6066838046272494,-0.09550022690129895,1.1346756379266831,
2026-07-01,1865.37,20,2026-07-29,XGBoost,-0.009975233115255833,0,Bearish/Flat,0.44466066360473633,1846.7624994037951,0.7,0.5344473085062637,0.6649616368286445,0.013688453691611202,0.2267129907984973,
2026-07-01,1865.37,20,2026-07-29,LightGBM,-0.011111716184647494,0,Bearish/Flat,0.4411958664175314,1844.642537980644,0.55,0.5311625527817618,0.6299638989169675,-0.01881640131279933,0.2971300855598655,
2026-07-01,1865.37,20,2026-07-29,CatBoost,-0.003612043035565631,0,Bearish/Flat,0.39714693861347833,1858.6322032827468,0.525,0.5102128321113708,0.6215494211932324,-0.04797583207455458,0.37351303865961505,
2026-07-01,1865.37,20,2026-07-29,HMM Regime,0.05109314257357345,1,Bullish,1.0,1960.6776153624667,0.625,0.48358374371884494,0.575139146567718,0.050424712457837265,0.8274550025757671,3.0
2026-07-01,1865.37,60,2026-09-23,MACD 12-26-9,0.038187546601304925,1,Bullish,1.0,1936.6039038036758,0.675,0.4658093394102227,0.5714285714285714,0.019667180932487885,0.9119070232840213,
2026-07-01,1865.37,60,2026-09-23,SVC,0.05004869872363671,1,Bullish,0.6399768683430684,1958.72934113811,0.4,0.4760695288960438,0.6253186066270179,-0.1312391064052171,0.11045556880775927,
2026-07-01,1865.37,60,2026-09-23,SVR,0.12323478284866062,1,Bullish,0.6658177251126726,2095.248466882406,0.35,0.4684117781427779,0.5690909090909091,-0.003486071769107995,0.30675369711511563,
2026-07-01,1865.37,60,2026-09-23,Random Forest,0.0032686864191975857,0,Bearish/Flat,0.2625914108728647,1871.4673095857784,0.7,0.5195114920648733,0.6177260519247986,-0.016448347134648735,0.5072208582258322,
2026-07-01,1865.37,60,2026-09-23,XGBoost,0.0005784000968560576,0,Bearish/Flat,0.39443302154541016,1866.4489301886722,0.6,0.5015337256480263,0.6504201680672269,-0.204105044954186,0.4076201654114312,
2026-07-01,1865.37,60,2026-09-23,LightGBM,-0.00757841142594818,0,Bearish/Flat,0.268738129106123,1851.2334586783788,0.55,0.48519030163271076,0.5743119266055046,-0.1074755776974554,0.8939413965783849,
2026-07-01,1865.37,60,2026-09-23,CatBoost,-0.007384512510780018,0,Bearish/Flat,0.3620334009285398,1851.5951518977663,0.5,0.4788895173659078,0.5878136200716846,-0.15918835909398008,0.6759345824143661,
2026-07-01,1865.37,60,2026-09-23,HMM Regime,0.06248787753098853,1,Bullish,1.0,1981.93301210998,0.725,0.43918940967878783,0.6852409638554217,-0.09112811283365051,0.9145259228978577,3.0
